data_size,greedy,dynamic_programing,dynamic_programing_backtrack
1.0,0.0,0.0,0.0
2.0,0.0,0.0,0.0
3.0,0.0,0.0,0.0
4.0,0.0,0.0,0.0
5.0,0.0,0.0,0.0
6.0,0.0010066032409667969,0.0,0.0
7.0,0.0,0.0,0.0
8.0,0.0,0.0009980201721191406,0.0009968280792236328
9.0,0.0,0.0010008811950683594,0.001992940902709961
10.0,0.0010001659393310547,0.003200054168701172,0.0029909610748291016
11.0,0.0,0.007494449615478516,0.008321762084960938
12.0,0.0,0.016204357147216797,0.016191720962524414
13.0,0.0,0.03728938102722168,0.05186104774475098
14.0,0.0,0.07511377334594727,0.07497930526733398
15.0,0.0,0.15651869773864746,0.17408275604248047
16.0,0.0,0.3450005054473877,0.36849331855773926
17.0,0.0,0.749474287033081,0.7917122840881348
18.0,0.0,1.602994680404663,1.6107747554779053
